NCT ID,Acronym,Overall Status,Start Date,Conditions,Interventions,Locations,Primary Completion Date,Study First Post Date,Last Update Post Date,Study Type,Phases,Sponsor,Sponsor Type,Disease,category
NCT05679050,Unknown,RECRUITING,2022-10-01,Resectable Pancreatic Cancer,AG Followed by FOLFIRINOX,Tianjin - China,2024-10-01,2023-01-10,2023-01-10,INTERVENTIONAL,PHASE2,Tianjin Medical University Cancer Institute and Hospital,OTHER,pancreatic_cancer,all_disease_procesed.csv
NCT04089150,MASTERPLAN,UNKNOWN,2019-10-01,Pancreatic Cancer,"Stereotactic Radiotherapy (SBRT), mFOLFIRINOX, Gemcitabine + Nab-paclitaxel, Gemcitabine + Capecitabine, Pancreatoduodenectomy (Whipple procedure)","Camperdown - Australia, Kogarah - Australia, Randwick - Australia, St Leonards - Australia, Waratah - Australia, Westmead - Australia, Southport - Australia, Woolloongabba - Australia, Adelaide - Australia, Melbourne - Australia, Melbourne - Australia",2023-05,2019-09-13,2021-10-22,INTERVENTIONAL,PHASE2,Australasian Gastro-Intestinal Trials Group,NETWORK,pancreatic_cancer,all_disease_procesed.csv
NCT01786850,Unknown,AVAILABLE,Unknown Date,"Pancreas, Cancer, Locally Advanced Pancreatic Cancer, Non-invasive Treatment",Magnetic Resonance-guided High-intensity Focused Ultrasound (MRgFUS),Rome - Italy,Unknown Date,2013-02-08,2014-06-18,EXPANDED_ACCESS,Not Available,University of Roma La Sapienza,OTHER,pancreatic_cancer,all_disease_procesed.csv
NCT03632850,Unknown,COMPLETED,2019-02-19,Advanced Pancreatic Cancer,web-based interactive tool,"Bournemouth - United Kingdom, Dorchester - United Kingdom, Poole - United Kingdom, Southampton - United Kingdom",2020-12-31,2018-08-16,2021-10-15,OBSERVATIONAL,Not Available,Bournemouth University,OTHER,pancreatic_cancer,all_disease_procesed.csv
NCT02231723,Unknown,COMPLETED,2014-08,Metastatic Pancreatic Adenocarcinoma,"BBI608, Nab-paclitaxel, Gemcitabine, Oxaliplatin, Leucovorin, Irinotecan, Fluorouracil, MM-398","Phoenix - United States, Atlanta - United States, Fort Wayne - United States, Goshen - United States, Indianapolis - United States, Henderson - United States, Columbus - United States, Knoxville - United States, Austin - United States, Dallas - United States, San Antonio - United States, Norfolk - United States",2020-06,2014-09-04,2023-11-18,INTERVENTIONAL,PHASE1,"Sumitomo Pharma America, Inc.",INDUSTRY,pancreatic_cancer,all_disease_procesed.csv
NCT03718650,Unknown,WITHDRAWN,2021-04-01,"Pancreatic Cancer, Resectable Pancreatic Cancer","Pimonidazole, Surgical Resection",Tampa - United States,2022-04-01,2018-10-24,2021-02-08,INTERVENTIONAL,PHASE1,H. Lee Moffitt Cancer Center and Research Institute,OTHER,pancreatic_cancer,all_disease_procesed.csv
NCT02777710,MEDIPLEX,COMPLETED,2016-06,"Colorectal Cancer, Pancreatic Cancer, Metastatic Cancer, Advanced Cancer","Pexidartinib, Durvalumab","Lyon - France, Toulouse - France",2019-11,2016-05-19,2021-09-05,INTERVENTIONAL,PHASE1,Centre Leon Berard,OTHER,pancreatic_cancer,all_disease_procesed.csv
NCT02869581,Unknown,RECRUITING,2000-01,Pancreatic Neoplasms,Data collection,Marseille - France,2030-01,2016-08-17,2016-08-17,OBSERVATIONAL,Not Available,Institut Paoli-Calmettes,OTHER,pancreatic_cancer,all_disease_procesed.csv
NCT06387810,undetermined,RECRUITING,2024-04-17,Borderline Resectable Pancreatic Cancer,irinotecan liposome II combined with 5-FU/LV and oxaliplatin,Beijing - China,2026-04-30,2024-04-29,2024-07-10,INTERVENTIONAL,PHASE2,Peking Union Medical College Hospital,OTHER,pancreatic_cancer,all_disease_procesed.csv
NCT02077881,Unknown,COMPLETED,2014-08,"Metastatic Pancreatic Adenocarcinoma, Metastatic Pancreatic Cancer","Nab-Paclitaxel, Gemcitabine, Indoximod","Palo Alto - United States, Augusta - United States, Lexington - United States, Saint Louis - United States, Paramus - United States, Pittsburgh - United States, Greenville - United States, Spartanburg - United States, Memphis - United States, Salt Lake City - United States, Burlington - United States",2018-01-17,2014-03-04,2020-05-28,INTERVENTIONAL,PHASE2,NewLink Genetics Corporation,INDUSTRY,pancreatic_cancer,all_disease_procesed.csv
NCT06505395,Unknown,RECRUITING,2024-07-30,Gastrointestinal Neuroendocrine Pancreatic Tumor,"SYHX2008 injection, Sandostatin LAR@",Beijing - China,2027-08-01,2024-07-17,2024-08-26,INTERVENTIONAL,PHASE2,"CSPC ZhongQi Pharmaceutical Technology Co., Ltd.",INDUSTRY,pancreatic_cancer,all_disease_procesed.csv
NCT01784081,iPC3,WITHDRAWN,2014-04,Pancreas Cancer,Palliative care with decision aids,Baltimore - United States,2015-06,2013-02-05,2016-06-10,OBSERVATIONAL,Not Available,Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins,OTHER,pancreatic_cancer,all_disease_procesed.csv
NCT01231581,Unknown,COMPLETED,2010-08,Cancer,"GSK1120212, Gemcitabine, Placebo","Seoul - Korea, Republic of, Seoul - Korea, Republic of, Seoul - Korea, Republic of, Seoul - Korea, Republic of, Gueishan Township,Taoyuan County - Taiwan, Tainan - Taiwan, Taipei - Taiwan",2012-04,2010-11-01,2013-09-26,INTERVENTIONAL,PHASE2,GlaxoSmithKline,INDUSTRY,pancreatic_cancer,all_disease_procesed.csv
NCT03225781,Unknown,TERMINATED,2017-07-01,Pancreatic Cancer,Electrochemotherapy with Bleomycin,Verona - Italy,2018-12-21,2017-07-21,2018-12-26,INTERVENTIONAL,,Universita di Verona,OTHER,pancreatic_cancer,all_disease_procesed.csv
NCT01808638,Atu027-I-02,COMPLETED,2013-03,"Carcinoma, Pancreatic Ductal","Atu027 & gemcitabine in lead in safety period, Atu027 & gemcitabine in treatment arm 1, Atu027 & gemcitabine in treatment arm 2","Berlin - Germany, Dortmund - Germany, Freiburg - Germany, Herne - Germany, Kassel - Germany, Nürnberg - Germany, Regensburg - Germany, Stuttgart - Germany, Ulm - Germany",2015-08,2013-03-11,2016-03-11,INTERVENTIONAL,PHASE2,Silence Therapeutics GmbH,INDUSTRY,pancreatic_cancer,all_disease_procesed.csv
NCT05225038,Unknown,COMPLETED,2022-06-13,"Pancreatic Neoplasms, Periampullary Carcinoma","Exercise, Nutritional, Behavioral Medicine, Smoking Cessation",Cleveland - United States,2023-10-30,2022-02-04,2024-09-19,INTERVENTIONAL,,Case Comprehensive Cancer Center,OTHER,pancreatic_cancer,all_disease_procesed.csv
NCT06518538,Unknown,WITHDRAWN,2024-08-15,Pancreatic Cancer Stage IV,"CPI-613, modified Folfirinox",Brooklyn - United States,2026-08,2024-07-24,2024-08-15,INTERVENTIONAL,PHASE2,Cornerstone Pharmaceuticals,INDUSTRY,pancreatic_cancer,all_disease_procesed.csv
NCT04570943,GABRINOX-ART,RECRUITING,2021-06-16,Locally Advanced Pancreatic Adenocarcinoma,"Gabrinox, MRI-GUIDED STEREOTACTIC RADIOTHERAPY","Marseille - France, Dijon - France, Nîmes - France, Montpellier - France, Montpellier - France, Paris - France",2028-01,2020-09-30,2024-10-16,INTERVENTIONAL,PHASE2,Institut du Cancer de Montpellier - Val d'Aurelle,OTHER,pancreatic_cancer,all_disease_procesed.csv
NCT03384238,Unknown,RECRUITING,2018-02-07,Pancreatic Adenocarcinoma,"Fluorescence Imaging, Panitumumab, Panitumumab-IRDye800",Palo Alto - United States,2026-03,2017-12-27,2025-02-17,INTERVENTIONAL,PHASE2,Eben Rosenthal,OTHER,pancreatic_cancer,all_disease_procesed.csv
NCT01729481,ML22774,UNKNOWN,2012-07,Metastatic Pancreatic Adenocarcinoma,"Gemcitabine, Erlotinib, Oxaliplatin, Folinic Acid, Irinotecan, 5-FU",Munich - Germany,2015-07,2012-11-20,2017-07-19,INTERVENTIONAL,PHASE2,Ludwig-Maximilians - University of Munich,OTHER,pancreatic_cancer,all_disease_procesed.csv
NCT01072981,Unknown,COMPLETED,2010-04,Pancreatic Cancer,"HyperAcute-Pancreas Immunotherapy, Gemcitabine, 5FU Chemoradiation","Birmingham - United States, Mobile - United States, Tucson - United States, Little Rock - United States, Duarte - United States, Los Angeles - United States, Los Angeles - United States, Palo Alto - United States, Sacramento - United States, San Francisco - United States, Aurora - United States, Stamford - United States, Washington - United States, Boca Raton - United States, Gainesville - United States, Jacksonville - United States, Lakeland - United States, Miami - United States, Tampa - United States, Tampa - United States, Arlington Heights - United States, Chicago - United States, Evanston - United States, Skokie - United States, Goshen - United States, Indianapolis - United States, Indianapolis - United States, Iowa City - United States, Westwood - United States, Louisville - United States, Baton Rouge - United States, New Orleans - United States, Baltimore - United States, Boston - United States, Boston - United States, Boston - United States, Burlington - United States, Ann Arbor - United States, Detroit - United States, Royal Oak - United States, Minneapolis - United States, Rochester - United States, Columbia - United States, Saint Louis - United States, Omaha - United States, Albuquerque - United States, New York - United States, New York - United States, Durham - United States, Winston-Salem - United States, Cincinnati - United States, Cleveland - United States, Columbus - United States, Oklahoma City - United States, Portland - United States, Bethlehem - United States, Hershey - United States, Philadelphia - United States, Philadelphia - United States, Philadelphia - United States, Pittsburgh - United States, Providence - United States, Greenville - United States, Dallas - United States, Houston - United States, Houston - United States, Houston - United States, Lubbock - United States, San Antonio - United States, Charlottesville - United States, Lynchburg - United States, Richmond - United States, Seattle - United States, Green Bay - United States, Madison - United States",2016-05,2010-02-22,2020-05-28,INTERVENTIONAL,PHASE3,NewLink Genetics Corporation,INDUSTRY,pancreatic_cancer,all_disease_procesed.csv
NCT01839981,Unknown,COMPLETED,2013-07,"Acinar Cell Adenocarcinoma of the Pancreas, Duct Cell Adenocarcinoma of the Pancreas, Recurrent Pancreatic Cancer, Stage III Pancreatic Cancer, Stage IV Pancreatic Cancer","6,8-bis(benzylthio)octanoic acid",Winston-Salem - United States,2015-10,2013-04-25,2018-12-27,INTERVENTIONAL,PHASE1,Wake Forest University Health Sciences,OTHER,pancreatic_cancer,all_disease_procesed.csv
NCT00758381,MAPS,UNKNOWN,2007-08,Locally Advanced Pancreatic Cancer,"Sorafenib 400 mg po bid, continuously, Gemcitabina, Cisplatino","Treviglio - Italy, Brescia - Italy, Genova - Italy, Milano - Italy, Milano - Italy, Milano - Italy, Monza - Italy, Ancona - Italy, Bergamo - Italy, Bologna - Italy, Firenze - Italy, Genova - Italy, Mantova - Italy, Milano - Italy, Modena - Italy, Roma - Italy, Roma - Italy",2008-08,2008-09-25,2008-10-10,INTERVENTIONAL,PHASE2,Gruppo Italiano per lo studio dei Carcinomi dell'Apparato Digerente,OTHER,pancreatic_cancer,all_disease_procesed.csv
NCT01994681,Unknown,UNKNOWN,2013-10,Pancreatic Cancer,No interventions listed,Hackensack - United States,2014-10,2013-11-26,2013-12-05,OBSERVATIONAL,Not Available,"Rauscher, Gregory E., M.D. PA",INDIV,pancreatic_cancer,all_disease_procesed.csv
NCT01396681,Unknown,COMPLETED,2004-12,Pancreatic Cancer,gemcitabine and cisplatin,"Seongnam - Korea, Republic of, Seoul - Korea, Republic of",2011-06,2011-07-19,2011-07-19,INTERVENTIONAL,PHASE2,Seoul National University Hospital,OTHER,pancreatic_cancer,all_disease_procesed.csv
NCT06302881,Unknown,ACTIVE_NOT_RECRUITING,2013-01,Pancreatic Ductal Adenocarcinoma,No interventions listed,No locations listed,2022-07,2024-03-12,2024-03-12,OBSERVATIONAL,Not Available,First Affiliated Hospital of Chongqing Medical University,OTHER,pancreatic_cancer,all_disease_procesed.csv
NCT02851381,Unknown,WITHDRAWN,2016-08,Pancreatic Cancer,FG-3019,No locations listed,2016-09,2016-08-01,2016-10-07,INTERVENTIONAL,,Jonsson Comprehensive Cancer Center,OTHER,pancreatic_cancer,all_disease_procesed.csv
NCT04931381,Unknown,RECRUITING,2021-06-01,Advanced Pancreatic Cancer,Chemotherapy guided by organoid drug sensitivity test,Shanghai - China,2024-05-31,2021-06-18,2022-08-02,INTERVENTIONAL,PHASE3,Changhai Hospital,OTHER,pancreatic_cancer,all_disease_procesed.csv
NCT05195281,Unknown,RECRUITING,2021-07-14,Pancreatic Cancer,Fine Needle Biopsy or Aspiration,Milan - Italy,2025-09-28,2022-01-18,2024-12-27,INTERVENTIONAL,,IRCCS San Raffaele,OTHER,pancreatic_cancer,all_disease_procesed.csv
NCT03690323,PELICAN,UNKNOWN,2015-04-07,Locally Advanced Pancreatic Cancer,"Radiofrequency ablation (RFA), FOLFIRINOX, Nab-paclitaxel plus Gemcitabine, Gemcitabine","Amsterdam - Netherlands, Utrecht - Netherlands",2019-11,2018-10-01,2018-10-01,INTERVENTIONAL,,Academisch Medisch Centrum - Universiteit van Amsterdam (AMC-UvA),OTHER,pancreatic_cancer,all_disease_procesed.csv
NCT00733850,Unknown,COMPLETED,2008-08,Pancreatic Cancer,"Kanglaite Injection plus gemcitabine, Gemcitabine","Muscle Shoals - United States, Casa Grande - United States, Burbank - United States, Downey - United States, Fresno - United States, Redlands - United States, Soquel - United States, Norwalk - United States, Ft. Lauderdale - United States, Jacksonville - United States, New Port Richey - United States, Tampa - United States, Galesburg - United States, Skokie - United States, Indianapolis - United States, Ames - United States, Louisville - United States, Baton Rouge - United States, Kansas City - United States, Lincoln - United States, Henderson - United States, Brick - United States, Howell - United States, Manasquam - United States, Bronx - United States, E. Setauket - United States, Lake Success - United States, New York - United States, Purchase - United States, Staten Island - United States, Goldsboro - United States, Canton - United States, Sylvania - United States, Dunmore - United States, Lemoyne - United States, Memphis - United States, Houston - United States, Houston - United States, Houston - United States, Tyler - United States, Tyler - United States, Everett - United States",2014-06,2008-08-13,2015-06-19,INTERVENTIONAL,PHASE2,KangLaiTe USA,INDUSTRY,pancreatic_cancer,all_disease_procesed.csv
NCT05234450,Camune,UNKNOWN,2021-12-01,Cancer of Pancreas,No interventions listed,Strasbourg - France,2022-06,2022-02-10,2022-02-10,OBSERVATIONAL,Not Available,"University Hospital, Strasbourg, France",OTHER,pancreatic_cancer,all_disease_procesed.csv
NCT03098550,Unknown,COMPLETED,2017-06-15,Advanced Cancer,"Nivolumab, Daratumumab","Long Beach - United States, Aurora - United States, Tampa - United States, Ann Arbor - United States, Portland - United States, St Leonards - Australia, Edmonton - Canada, Lyon Cedex 08 - France, Marseille Cedex 9 - France, Strasbourg Cedex - France, Dresden - Germany, Freiburg - Germany, Heidelberg - Germany, Milano - Italy, Napoli - Italy, San Juan - Puerto Rico, Madrid - Spain, Majadahonda - Madrid - Spain, Basel - Switzerland, Lausanne - Switzerland",2020-07-06,2017-03-31,2021-07-23,INTERVENTIONAL,PHASE2,Bristol-Myers Squibb,INDUSTRY,pancreatic_cancer,all_disease_procesed.csv
NCT02432950,Unknown,COMPLETED,2016-01-07,"Obesity, Stage IA Breast Cancer, Stage IB Breast Cancer, Stage IIA Breast Cancer, Stage IIB Breast Cancer, Stage IIIA Breast Cancer, Stage IIIB Breast Cancer, Stage IIIC Breast Cancer","Dietary Intervention, Educational Intervention, Laboratory Biomarker Analysis, Quality-of-Life Assessment",Duarte - United States,2018-01-15,2015-05-04,2023-03-21,INTERVENTIONAL,,City of Hope Medical Center,OTHER,pancreatic_cancer,all_disease_procesed.csv
NCT03914950,TOF-P,COMPLETED,2014-02-07,"Pancreatic Cancer, Pancreatitis, IPMN",PET/CT results with TOF/without TOF,No locations listed,2019-01-17,2019-04-16,2020-05-29,INTERVENTIONAL,,Medical University of Graz,OTHER,pancreatic_cancer,all_disease_procesed.csv
NCT05751850,Unknown,RECRUITING,2023-06-13,First-line Treatment of Advanced Pancreatic Cancer,"HR070803; Oxaliplatin; 5Fluorouracil; Calcium folinate, nab-paclitaxel; gemcitabine",Beijing - China,2024-12-30,2023-03-02,2024-05-09,INTERVENTIONAL,PHASE3,"Jiangsu HengRui Medicine Co., Ltd.",INDUSTRY,pancreatic_cancer,all_disease_procesed.csv
NCT04161755,Unknown,ACTIVE_NOT_RECRUITING,2019-12-13,Pancreatic Cancer,"Atezolizumab, RO7198457, mFOLFIRINOX","Basking Ridge - United States, Middletown - United States, Montvale - United States, Commack - United States, Harrison - United States, New York - United States, Rockville Centre - United States",2025-11-11,2019-11-13,2025-01-03,INTERVENTIONAL,PHASE1,Memorial Sloan Kettering Cancer Center,OTHER,pancreatic_cancer,all_disease_procesed.csv
NCT03322995,PANC,RECRUITING,2018-06-21,Pancreatic Cancer,"First-line Chemotherapy, Second-line Chemotherapy, Chemoradiation",Milwaukee - United States,2026-08-01,2017-10-26,2024-11-21,INTERVENTIONAL,PHASE2,Medical College of Wisconsin,OTHER,pancreatic_cancer,all_disease_procesed.csv
NCT04091295,Unknown,AVAILABLE,Unknown Date,"Pancreatic Cancer, Osteosarcoma, MPNST (Malignant Peripheral Nerve Sheath Tumor), Chondrosarcoma, Soft Tissue Sarcoma, Chordoma, Sarcoma, Carcinoma of Breast",DNG64,Santa Monica - United States,Unknown Date,2019-09-16,2025-02-24,EXPANDED_ACCESS,Not Available,Aveni Foundation,OTHER,pancreatic_cancer,all_disease_procesed.csv
NCT02318095,Unknown,COMPLETED,2015-02-17,Resectable Pancreatic Cancers,"Gemcitabine/nab-Paclitaxel, Radiation therapy, Sugical resection, Adjuvant chemotheapy",Durham - United States,2018-11-07,2014-12-17,2023-10-26,INTERVENTIONAL,,Duke University,OTHER,pancreatic_cancer,all_disease_procesed.csv
NCT04790695,Unknown,COMPLETED,2021-03-29,Metastatic Pancreatic Cancer,Seribantumab,Ottawa - Canada,2021-12-22,2021-03-10,2022-01-12,INTERVENTIONAL,PHASE2,Ottawa Hospital Research Institute,OTHER,pancreatic_cancer,all_disease_procesed.csv
NCT04404595,Unknown,ACTIVE_NOT_RECRUITING,2020-10-23,"Gastric Cancer, Pancreatic Cancer",CT041,"Duarte - United States, Los Angeles - United States, San Diego - United States, San Francisco - United States, Tampa - United States, Kansas City - United States, Detroit - United States, Rochester - United States, New Hyde Park - United States, New York - United States, New York - United States, Columbus - United States, Dallas - United States, Houston - United States, Milwaukee - United States, Toronto - Canada",2025-06-01,2020-05-27,2025-01-08,INTERVENTIONAL,PHASE2,"CARsgen Therapeutics Co., Ltd.",INDUSTRY,pancreatic_cancer,all_disease_procesed.csv
NCT02153450,Unknown,COMPLETED,2015-05-08,"Acinar Cell Adenocarcinoma of the Pancreas, Duct Cell Adenocarcinoma of the Pancreas, Recurrent Pancreatic Cancer, Stage I-III Pancreatic Cancer","metformin hydrochloride, stereotactic radiosurgery",Cleveland - United States,2018-08-03,2014-06-03,2020-06-26,INTERVENTIONAL,PHASE1,Case Comprehensive Cancer Center,OTHER,pancreatic_cancer,all_disease_procesed.csv
NCT03001518,Unknown,COMPLETED,2017-05-04,"Pancreatic Cancer, Surgery",No interventions listed,Durham - United States,2021-01-07,2016-12-23,2023-06-28,OBSERVATIONAL,Not Available,Duke University,OTHER,pancreatic_cancer,all_disease_procesed.csv
NCT03579836,Unknown,UNKNOWN,2018-05-01,Locally Advanced or Metastatic Pancreatic Cancer,"BEY1107, Gemcitabine","Seoul - Korea, Republic of",2021-03,2018-07-09,2019-07-25,INTERVENTIONAL,PHASE2,BeyondBio Inc.,INDUSTRY,pancreatic_cancer,all_disease_procesed.csv
NCT03403049,Unknown,COMPLETED,2016-04-01,"Pancreatic Cancer, Cancer","Carbon Ion, Gemcitabine + Cisplatin, Gemcitabine + Capecitabine, Gemcitabine + Erlotinib, Gemcitabine, Photon","Bronx - United States, Shanghai - China",2019-07-09,2018-01-18,2020-04-22,INTERVENTIONAL,PHASE1,Albert Einstein College of Medicine,OTHER,pancreatic_cancer,all_disease_procesed.csv
NCT03899649,DIRECT,ACTIVE_NOT_RECRUITING,2019-05-08,Stage III Pancreatic Cancer,"SOC, NanoKnife System","La Jolla - United States, Gainesville - United States, Miami - United States, Marietta - United States, Arlington Heights - United States, Iowa City - United States, Louisville - United States, Rochester - United States, Saint Louis - United States, New York - United States, New York - United States, Charlotte - United States, Easton - United States, Dallas - United States",2025-04,2019-04-02,2025-02-12,OBSERVATIONAL,Not Available,"Angiodynamics, Inc.",INDUSTRY,pancreatic_cancer,all_disease_procesed.csv
NCT02031536,Unknown,TERMINATED,2014-04-10,"Gastrinoma, Glucagonoma, Insulinoma, Liver Metastases, Pancreatic Polypeptide Tumor, Recurrent Islet Cell Carcinoma, Somatostatinoma","everolimus, placebo",Boston - United States,2017-07-19,2014-01-09,2023-06-29,INTERVENTIONAL,PHASE2,ECOG-ACRIN Cancer Research Group,NETWORK,pancreatic_cancer,all_disease_procesed.csv
NCT01525706,Unknown,TERMINATED,2012-09,"Mucinous Cystic Tumor With Moderate Dysplasia, Mucinous Cystadenoma of Pancreas, Mucinous Cystadenocarcinoma of Pancreas, Benign Neoplasm of Pancreas",Ethanol and Paclitaxel Injection,London - Canada,2016-11,2012-02-03,2016-11-02,INTERVENTIONAL,PHASE1,London Health Sciences Centre Research Institute and Lawson Research Institute of St. Joseph's,OTHER,pancreatic_cancer,all_disease_procesed.csv
NCT02842749,Unknown,COMPLETED,2016-03-14,Pancreatic Neuroendocrine Tumors,everolimus,"Shanghai - China, Beijing - China, Beijing - China, Guangzhou - China, Shanghai - China",2024-02-22,2016-07-25,2025-02-10,INTERVENTIONAL,PHASE4,Novartis Pharmaceuticals,INDUSTRY,pancreatic_cancer,all_disease_procesed.csv
NCT00058149,Unknown,COMPLETED,2003-03,Pancreatic Cancer,"gemcitabine hydrochloride, oxaliplatin","Huntsville - United States, Scottsdale - United States, Aurora - United States, Boulder - United States, Colorado Springs - United States, Denver - United States, Denver - United States, Denver - United States, Denver - United States, Denver - United States, Englewood - United States, Lone Tree - United States, Longmont - United States, Pueblo - United States, Thornton - United States, Atlanta - United States, Decatur - United States, Chicago - United States, Chicago - United States, Decatur - United States, Decatur - United States, Hinsdale - United States, La Grange - United States, Rockford - United States, Urbana - United States, Indianapolis - United States, Indianapolis - United States, Cedar Rapids - United States, Des Moines - United States, Wichita - United States, Wichita - United States, New Orleans - United States, Baltimore - United States, Boston - United States, Boston - United States, Kalamazoo - United States, Rochester - United States, Saint Louis Park - United States, Las Vegas - United States, East Orange - United States, New Brunswick - United States, Albuquerque - United States, Bronx - United States, New York - United States, Fargo - United States, Cleveland - United States, Columbus - United States, Tulsa - United States, Danville - United States, Philadelphia - United States, Philadelphia - United States, Pittsburgh - United States, Wynnewood - United States, Wynnewood - United States, Sioux Falls - United States, Nashville - United States, Temple - United States, Green Bay - United States, Madison - United States, Marshfield - United States, Pretoria - South Africa",2006-07,2003-04-09,2011-09-21,INTERVENTIONAL,PHASE3,Eastern Cooperative Oncology Group,NETWORK,pancreatic_cancer,all_disease_procesed.csv
NCT05346536,CTC-AXL-PANC,UNKNOWN,2022-06-16,"Pancreatic Ductal Adenocarcinoma, Metastatic Pancreatic Cancer, Circulating Tumor Cell",Detection of circulating tumor cells expressing Axl: CTC-AXL(+),Montpellier - France,2023-06-16,2022-04-26,2022-07-06,INTERVENTIONAL,,"University Hospital, Montpellier",OTHER,pancreatic_cancer,all_disease_procesed.csv
NCT00609336,Unknown,COMPLETED,2008-01,"Adenocarcinoma of the Pancreas, Stage IA Pancreatic Cancer, Stage IB Pancreatic Cancer, Stage IIA Pancreatic Cancer, Stage IIB Pancreatic Cancer","gemcitabine hydrochloride, docetaxel, capecitabine, intensity-modulated radiation therapy, oxaliplatin, pancreatic surgical procedure, therapeutic conventional surgery, laboratory biomarker analysis",Seattle - United States,2014-11,2008-02-07,2017-07-13,INTERVENTIONAL,PHASE2,University of Washington,OTHER,pancreatic_cancer,all_disease_procesed.csv
NCT02598349,Unknown,RECRUITING,2016-04,Pancreatic Cancer,"Proton Radiation, Capecitabine, Surgical resection","Jacksonville - United States, Warrenville - United States, Flint - United States, Fairfax - United States",2039-10,2015-11-05,2024-06-03,INTERVENTIONAL,PHASE2,Proton Collaborative Group,NETWORK,pancreatic_cancer,all_disease_procesed.csv
NCT05442749,PARPi-PANC,WITHDRAWN,2022-10-28,Metastatic Pancreatic Cancer,Niraparib,Lyon - France,2026-01-15,2022-07-05,2024-09-19,INTERVENTIONAL,PHASE2,Centre Leon Berard,OTHER,pancreatic_cancer,all_disease_procesed.csv
NCT04755036,GECP01,COMPLETED,2020-01-01,Pancreas Cancer,Survey and case vignette,Alicante - Spain,2020-11-30,2021-02-15,2021-02-15,OBSERVATIONAL,Not Available,Hospital Miguel Servet,OTHER,pancreatic_cancer,all_disease_procesed.csv
NCT02461836,Unknown,UNKNOWN,2015-08,Pancreatic Cancer,"Gemcitabine, SBRT",Hangzhou - China,2020-06,2015-06-03,2017-04-05,INTERVENTIONAL,PHASE2,"Second Affiliated Hospital, School of Medicine, Zhejiang University",OTHER,pancreatic_cancer,all_disease_procesed.csv
NCT02850536,HITM-SURE,COMPLETED,2017-02-01,Liver Metastases,anti-CEA CAR-T cells,"Aurora - United States, Providence - United States",2018-12-31,2016-08-01,2021-10-21,INTERVENTIONAL,PHASE1,Roger Williams Medical Center,OTHER,pancreatic_cancer,all_disease_procesed.csv
NCT04137536,Unknown,ACTIVE_NOT_RECRUITING,2019-10-17,"Pancreatic Cancer, Advanced Pancreatic Cancer, Pancreatic Adenocarcinoma, Pancreatic Neoplasms",anti-EGFR-bispecific antibody armed activated T-cells,"New York - United States, Charlottesville - United States",2025-04,2019-10-24,2024-05-02,INTERVENTIONAL,PHASE1,Memorial Sloan Kettering Cancer Center,OTHER,pancreatic_cancer,all_disease_procesed.csv
NCT05958849,PaC,NOT_YET_RECRUITING,2023-08-01,Progression-free Survival,Sovalteinib Solutumab Tegeo,No locations listed,2024-07-01,2023-07-25,2023-07-25,INTERVENTIONAL,PHASE2,Zhejiang Cancer Hospital,OTHER,pancreatic_cancer,all_disease_procesed.csv
